vehicle_id,date_key,location_id,listed_price,sold_price,price_difference,expected_market_price,days_on_platform,conversion_rate,sale_flag
670,20231107,10,1277401,1122343,155058,1021920,85,0.03,1
672,20230503,9,1570433,1412694,157739,1256346,113,0.05,1
676,20220712,13,454297,295834,158463,204433,37,0.03,1
678,20191002,21,382025,364966,17059,343822,111,0.06,1
679,20210906,5,1372217,1245976,126241,754719,114,0.03,1
680,20190309,3,2134497,1978755,155742,1814322,40,0.06,1
682,20230811,13,2049095,1978989,70106,1639276,95,0.03,1
683,20220409,24,2280446,2136016,144430,1710334,42,0.07,1
684,20231112,5,1468663,1327202,141461,881197,88,0.06,1
685,20230312,18,499622,406688,92934,324754,31,0.02,1
686,20230302,6,320324,258961,61363,288291,55,0.08,1
687,20210408,27,2434005,2297114,136891,1825503,89,0.03,1
689,20191209,13,1509664,1475920,33744,1434180,44,0.04,1
691,20241005,6,2257509,2207826,49683,1467380,33,0.08,1
693,20220401,13,791335,780315,11020,751768,87,0.02,1
697,20210106,26,983011,908142,74869,393204,72,0.03,1
698,20221004,5,514157,480132,34025,359909,62,0.05,1
701,20230507,10,1265444,1241252,24192,1202171,65,0.06,1
702,20201012,2,2147513,2112201,35312,1181132,57,0.02,1
703,20241011,3,2275138,2207801,67337,2161381,42,0.04,1
706,20221009,27,1656420,1630686,25734,1159494,16,0.09,1
707,20240510,5,932266,853595,78671,699199,113,0.05,1
708,20250604,13,2258123,2256992,1131,1241967,44,0.05,1
709,20230605,26,1298228,1123198,175030,778936,25,0.05,1
710,20210605,24,260444,125536,134908,234399,47,0.05,1
711,20250104,14,666259,666030,229,533007,50,0.08,1
715,20200612,24,1322388,1231175,91213,991791,46,0.06,1
716,20200607,29,1447923,1368801,79122,1375526,63,0.04,1
718,20200907,29,1427034,1356986,70048,784868,70,0.03,1
720,20221204,3,1142493,1131287,11206,399872,65,0.07,1
722,20230612,1,469393,385362,84031,211226,8,0.08,1
723,20191106,13,923594,908117,15477,600336,101,0.06,1
726,20250307,5,611119,551511,59608,580563,98,0.06,1
727,20240707,28,1048910,886521,162389,367118,16,0.13,1
729,20220604,21,2310343,2174874,135469,1155171,65,0.05,1
730,20240406,18,389372,231952,157420,369903,94,0.07,1
731,20190507,16,2065651,2013243,52408,1962368,50,0.06,1
736,20231210,13,1468826,1311023,157803,1321943,56,0.03,1
739,20251102,21,1126397,1124670,1727,1013757,112,0.05,1
740,20241008,20,2193830,2150721,43109,1755064,74,0.05,1
742,20210204,20,1393113,1378712,14401,766212,3,0.14,1
743,20210710,1,2312370,2228212,84158,2081133,23,0.12,1
744,20221002,29,2133426,2097466,35960,2026754,80,0.04,1
745,20210909,22,1574124,1530659,43465,787062,76,0.08,1
746,20210404,24,659583,496343,163240,560645,82,0.07,1
747,20191007,6,1439346,1307566,131780,791640,88,0.03,1
748,20220807,5,1416725,1369835,46890,566689,93,0.05,1
751,20240204,5,432391,386297,46094,237815,57,0.05,1
752,20190512,13,2467932,2413817,54115,2097742,8,0.07,1
753,20210504,27,1875113,1780278,94835,937556,37,0.05,1
754,20190508,24,2110454,1999729,110725,1371795,67,0.08,1
755,20210601,12,1176152,1147595,28557,470460,67,0.05,1
756,20190708,6,1083895,905445,178450,867116,102,0.05,1
757,20210805,3,1980333,1808661,171672,1089183,62,0.04,1
758,20190104,2,1044787,920515,124272,574632,54,0.05,1
760,20220605,19,714135,684492,29643,285653,48,0.05,1
761,20231210,28,1000645,900938,99707,500322,10,0.12,1
763,20230706,24,1089438,917833,171605,599190,93,0.04,1
764,20191101,27,651325,643090,8235,553626,66,0.04,1
765,20230111,8,1137957,1085666,52291,853467,60,0.04,1
767,20241203,25,1402227,1265699,136528,841336,17,0.07,1
769,20241206,10,2127875,2103243,24632,1489512,48,0.03,1
770,20200701,25,1631922,1452471,179451,1468729,49,0.06,1
