vehicle_id,brand,model,fuel_type,transmission,car_condition,is_premium_brand,manufacturing_year,vehicle_age,kms_driven
118,Tata,Nexon,Cng,Manual,Good,0,2020,6,135977
119,Honda,Amaze,Cng,Manual,Good,0,2020,6,7208
120,Mahindra,Xuv500,Cng,Automatic,Good,0,2021,5,42025
121,Hyundai,I20,Petrol,Automatic,Good,0,2022,4,19133
122,Audi,A4,Cng,Automatic,Poor,1,2014,12,199697
123,Audi,A4,Petrol,Manual,Fair,1,2017,9,173395
124,Maruti,Swift,Electric,Manual,Poor,0,2015,11,95276
125,Mahindra,Scorpio,Cng,Manual,Excellent,0,2024,2,122721
126,Hyundai,I20,Diesel,Manual,Good,0,2021,5,18524
127,Honda,City,Electric,Automatic,Poor,0,2012,14,158165
128,Toyota,Innova,Petrol,Automatic,Excellent,0,2024,2,115170
129,Hyundai,I20,Petrol,Manual,Good,0,2021,5,182844
130,Bmw,X1,Cng,Automatic,Poor,1,2016,10,110491
131,Toyota,Fortuner,Cng,Automatic,Excellent,0,2023,3,172878
132,Tata,Harrier,Petrol,Automatic,Fair,0,2017,9,58245
133,Toyota,Fortuner,Diesel,Manual,Poor,0,2013,13,110099
134,Audi,A4,Cng,Manual,Poor,1,2012,14,33076
135,Mahindra,Scorpio,Diesel,Manual,Poor,0,2013,13,30581
136,Toyota,Fortuner,Petrol,Manual,Poor,0,2014,12,82590
137,Mahindra,Scorpio,Petrol,Automatic,Fair,0,2018,8,168924
138,Mahindra,Xuv500,Electric,Automatic,Fair,0,2019,7,151343
139,Honda,Amaze,Cng,Manual,Fair,0,2019,7,105367
140,Honda,Amaze,Cng,Manual,Poor,0,2016,10,49378
141,Maruti,Swift,Petrol,Manual,Fair,0,2018,8,103790
142,Bmw,X3,Petrol,Manual,Poor,1,2015,11,39462
143,Honda,City,Cng,Automatic,Fair,0,2018,8,155473
144,Tata,Nexon,Diesel,Automatic,Poor,0,2012,14,93039
145,Maruti,Baleno,Cng,Manual,Poor,0,2016,10,49113
146,Toyota,Fortuner,Cng,Manual,Excellent,0,2024,2,19958
147,Mahindra,Scorpio,Cng,Manual,Poor,0,2016,10,50454
148,Toyota,Fortuner,Electric,Automatic,Fair,0,2019,7,199644
149,Maruti,Baleno,Diesel,Manual,Good,0,2020,6,182500
150,Bmw,X3,Petrol,Automatic,Good,1,2020,6,154987
151,Toyota,Fortuner,Cng,Manual,Good,0,2021,5,164947
152,Hyundai,Verna,Cng,Automatic,Poor,0,2014,12,13990
153,Toyota,Innova,Electric,Automatic,Excellent,0,2024,2,175089
154,Bmw,X3,Cng,Automatic,Good,1,2020,6,114311
155,Tata,Nexon,Electric,Manual,Good,0,2021,5,68235
156,Audi,A4,Electric,Manual,Good,1,2020,6,126845
157,Mahindra,Scorpio,Electric,Automatic,Fair,0,2019,7,34399
158,Bmw,X1,Petrol,Manual,Fair,1,2019,7,114889
159,Honda,Amaze,Diesel,Manual,Excellent,0,2023,3,88511
160,Tata,Harrier,Diesel,Automatic,Good,0,2021,5,178706
161,Tata,Nexon,Petrol,Automatic,Poor,0,2012,14,31014
162,Tata,Harrier,Cng,Manual,Excellent,0,2023,3,16099
163,Mahindra,Scorpio,Electric,Automatic,Fair,0,2018,8,40471
164,Mahindra,Scorpio,Diesel,Automatic,Fair,0,2019,7,53776
165,Hyundai,Creta,Cng,Automatic,Poor,0,2016,10,22464
166,Tata,Nexon,Electric,Manual,Fair,0,2018,8,147221
167,Maruti,Baleno,Petrol,Manual,Poor,0,2012,14,140493
168,Mahindra,Xuv500,Petrol,Manual,Excellent,0,2023,3,61978
169,Honda,City,Petrol,Manual,Fair,0,2017,9,185361
170,Maruti,Baleno,Diesel,Manual,Poor,0,2013,13,83500
171,Honda,City,Petrol,Manual,Poor,0,2016,10,141428
172,Toyota,Innova,Cng,Manual,Fair,0,2017,9,113818
173,Mahindra,Scorpio,Cng,Manual,Excellent,0,2024,2,83609
174,Hyundai,Verna,Cng,Automatic,Poor,0,2015,11,109027
175,Audi,Q3,Petrol,Automatic,Good,1,2022,4,71914
176,Audi,A4,Electric,Automatic,Excellent,1,2024,2,38122
177,Bmw,X3,Electric,Automatic,Excellent,1,2023,3,98604
178,Honda,Amaze,Electric,Automatic,Poor,0,2013,13,50370
179,Audi,Q3,Cng,Automatic,Poor,1,2013,13,153200
180,Maruti,Wagonr,Cng,Automatic,Poor,0,2015,11,193043
181,Honda,City,Electric,Automatic,Poor,0,2013,13,112714
182,Tata,Harrier,Diesel,Manual,Poor,0,2015,11,9893
183,Honda,City,Diesel,Automatic,Fair,0,2018,8,110537
184,Tata,Harrier,Petrol,Manual,Fair,0,2018,8,100514
185,Toyota,Fortuner,Electric,Automatic,Poor,0,2016,10,129165
186,Tata,Nexon,Diesel,Automatic,Poor,0,2013,13,110463
187,Tata,Nexon,Diesel,Manual,Good,0,2020,6,59373
188,Tata,Harrier,Diesel,Manual,Poor,0,2012,14,131787
189,Bmw,X1,Cng,Automatic,Good,1,2022,4,132928
190,Bmw,X1,Petrol,Manual,Fair,1,2019,7,186365
191,Bmw,X3,Cng,Automatic,Good,1,2022,4,22829
192,Mahindra,Scorpio,Petrol,Manual,Good,0,2020,6,71792
193,Bmw,X1,Petrol,Manual,Excellent,1,2023,3,127879
194,Hyundai,Verna,Petrol,Manual,Good,0,2021,5,91243
195,Hyundai,Verna,Diesel,Automatic,Good,0,2021,5,103980
196,Bmw,X3,Electric,Manual,Poor,1,2014,12,23828
197,Hyundai,Creta,Petrol,Automatic,Fair,0,2018,8,135723
198,Toyota,Fortuner,Diesel,Automatic,Poor,0,2015,11,35934
199,Honda,Amaze,Petrol,Manual,Good,0,2020,6,178607
200,Toyota,Fortuner,Electric,Manual,Poor,0,2012,14,62454
201,Honda,City,Electric,Manual,Fair,0,2019,7,6528
202,Bmw,X1,Diesel,Manual,Poor,1,2016,10,65493
203,Bmw,X1,Electric,Manual,Fair,1,2017,9,181026
204,Tata,Nexon,Diesel,Automatic,Good,0,2021,5,96317
205,Tata,Nexon,Petrol,Manual,Good,0,2022,4,17930
206,Honda,Amaze,Diesel,Automatic,Good,0,2022,4,123317
207,Audi,A4,Cng,Automatic,Fair,1,2019,7,66878
208,Honda,Amaze,Electric,Automatic,Poor,0,2013,13,123391
209,Maruti,Wagonr,Diesel,Automatic,Fair,0,2019,7,38642
210,Toyota,Innova,Diesel,Automatic,Poor,0,2012,14,165841
211,Maruti,Wagonr,Cng,Automatic,Good,0,2020,6,33229
212,Mahindra,Xuv500,Cng,Manual,Fair,0,2017,9,171130
213,Toyota,Innova,Electric,Manual,Excellent,0,2023,3,166176
214,Bmw,X1,Petrol,Automatic,Poor,1,2012,14,174578
215,Toyota,Innova,Cng,Manual,Excellent,0,2024,2,25921
216,Bmw,X1,Electric,Automatic,Fair,1,2019,7,141079
217,Maruti,Wagonr,Petrol,Manual,Fair,0,2019,7,56779
218,Toyota,Fortuner,Diesel,Manual,Poor,0,2016,10,15857
219,Toyota,Fortuner,Electric,Automatic,Fair,0,2018,8,103974
220,Audi,Q3,Electric,Automatic,Fair,1,2018,8,103644
221,Maruti,Wagonr,Cng,Automatic,Fair,0,2018,8,161351
222,Mahindra,Xuv500,Electric,Automatic,Poor,0,2012,14,35834
223,Audi,Q3,Petrol,Automatic,Fair,1,2017,9,38213
224,Hyundai,Verna,Electric,Manual,Poor,0,2015,11,173796
225,Mahindra,Xuv500,Cng,Automatic,Excellent,0,2023,3,187080
226,Hyundai,Verna,Cng,Manual,Poor,0,2013,13,169915
227,Mahindra,Xuv500,Electric,Manual,Poor,0,2014,12,187004
228,Hyundai,I20,Electric,Automatic,Good,0,2020,6,140914
229,Toyota,Fortuner,Cng,Automatic,Excellent,0,2023,3,16953
230,Tata,Nexon,Cng,Automatic,Poor,0,2014,12,36287
231,Mahindra,Xuv500,Diesel,Automatic,Poor,0,2013,13,166182
232,Tata,Harrier,Electric,Automatic,Poor,0,2013,13,105358
233,Maruti,Wagonr,Petrol,Manual,Fair,0,2019,7,32994
234,Maruti,Wagonr,Diesel,Manual,Excellent,0,2024,2,177843
235,Hyundai,Creta,Diesel,Automatic,Poor,0,2014,12,24440
236,Hyundai,Verna,Electric,Automatic,Good,0,2020,6,59902
237,Bmw,X1,Petrol,Manual,Excellent,1,2024,2,182636
238,Honda,City,Electric,Manual,Fair,0,2017,9,50182
239,Mahindra,Scorpio,Diesel,Automatic,Excellent,0,2024,2,179676
240,Maruti,Swift,Petrol,Manual,Excellent,0,2024,2,119972
241,Toyota,Innova,Diesel,Automatic,Poor,0,2012,14,154310
242,Tata,Harrier,Electric,Manual,Fair,0,2019,7,62398
243,Audi,Q3,Diesel,Automatic,Fair,1,2017,9,18919
244,Toyota,Fortuner,Electric,Automatic,Poor,0,2012,14,14836
245,Tata,Harrier,Cng,Manual,Poor,0,2012,14,108851
246,Toyota,Innova,Diesel,Manual,Poor,0,2015,11,106441
247,Toyota,Innova,Petrol,Automatic,Poor,0,2013,13,40825
248,Bmw,X1,Diesel,Manual,Poor,1,2013,13,21756
249,Hyundai,Creta,Cng,Automatic,Good,0,2020,6,124490
250,Maruti,Baleno,Electric,Automatic,Fair,0,2017,9,112430
251,Tata,Nexon,Electric,Manual,Poor,0,2014,12,168640
252,Honda,City,Diesel,Manual,Fair,0,2019,7,179379
253,Tata,Harrier,Diesel,Automatic,Excellent,0,2023,3,114092
254,Toyota,Innova,Electric,Automatic,Poor,0,2014,12,134386
255,Hyundai,I20,Diesel,Manual,Fair,0,2018,8,171055
256,Mahindra,Xuv500,Cng,Automatic,Fair,0,2017,9,197681
257,Toyota,Fortuner,Electric,Manual,Fair,0,2019,7,74392
258,Mahindra,Scorpio,Petrol,Manual,Poor,0,2016,10,71318
259,Mahindra,Scorpio,Electric,Manual,Poor,0,2015,11,72536
260,Bmw,X3,Electric,Manual,Good,1,2022,4,81261
261,Audi,A4,Diesel,Automatic,Fair,1,2018,8,70712
262,Bmw,X3,Cng,Automatic,Poor,1,2012,14,141890
263,Audi,A4,Petrol,Manual,Excellent,1,2023,3,10295
264,Audi,Q3,Petrol,Automatic,Poor,1,2016,10,120016
265,Hyundai,Creta,Diesel,Automatic,Good,0,2022,4,73434
266,Tata,Nexon,Diesel,Manual,Poor,0,2015,11,6642
267,Hyundai,Verna,Diesel,Automatic,Excellent,0,2024,2,56427
268,Honda,City,Cng,Manual,Poor,0,2014,12,164430
269,Honda,Amaze,Diesel,Manual,Fair,0,2018,8,143820
270,Maruti,Wagonr,Electric,Manual,Fair,0,2017,9,100576
271,Toyota,Innova,Diesel,Automatic,Good,0,2022,4,78908
272,Mahindra,Scorpio,Electric,Automatic,Poor,0,2016,10,62965
273,Audi,A4,Diesel,Automatic,Good,1,2020,6,90287
274,Honda,City,Cng,Manual,Fair,0,2019,7,156564
275,Bmw,X3,Cng,Manual,Excellent,1,2023,3,45361
276,Honda,Amaze,Electric,Manual,Poor,0,2016,10,151816
277,Bmw,X3,Diesel,Automatic,Poor,1,2012,14,88901
278,Bmw,X3,Electric,Manual,Fair,1,2017,9,107543
279,Hyundai,Creta,Electric,Manual,Fair,0,2018,8,19805
280,Maruti,Wagonr,Petrol,Automatic,Excellent,0,2023,3,24430
281,Tata,Nexon,Diesel,Manual,Fair,0,2017,9,110593
282,Mahindra,Scorpio,Electric,Automatic,Good,0,2020,6,64051
283,Tata,Harrier,Cng,Automatic,Excellent,0,2023,3,174091
284,Hyundai,Verna,Petrol,Automatic,Poor,0,2012,14,144707
285,Tata,Harrier,Cng,Manual,Poor,0,2015,11,107688
286,Honda,City,Cng,Automatic,Good,0,2022,4,107631
287,Hyundai,I20,Electric,Manual,Poor,0,2014,12,81195
288,Hyundai,Creta,Petrol,Automatic,Poor,0,2016,10,51638
289,Toyota,Fortuner,Diesel,Manual,Poor,0,2015,11,77231
290,Toyota,Fortuner,Cng,Manual,Poor,0,2013,13,48508
291,Audi,A4,Cng,Automatic,Fair,1,2017,9,143936
292,Toyota,Fortuner,Electric,Automatic,Fair,0,2017,9,51134
293,Mahindra,Scorpio,Petrol,Automatic,Good,0,2022,4,127867
294,Tata,Nexon,Cng,Manual,Fair,0,2018,8,198839
295,Honda,Amaze,Diesel,Automatic,Good,0,2022,4,130088
296,Bmw,X1,Cng,Automatic,Good,1,2021,5,130818
297,Honda,Amaze,Petrol,Automatic,Good,0,2020,6,112652
298,Audi,A4,Cng,Automatic,Fair,1,2018,8,59629
299,Toyota,Innova,Cng,Manual,Good,0,2022,4,97936
300,Tata,Harrier,Petrol,Automatic,Fair,0,2017,9,120820
301,Mahindra,Scorpio,Electric,Automatic,Fair,0,2019,7,43939
302,Audi,Q3,Diesel,Automatic,Fair,1,2019,7,93916
303,Audi,Q3,Diesel,Manual,Poor,1,2016,10,38144
304,Hyundai,Verna,Diesel,Manual,Poor,0,2016,10,29197
305,Honda,City,Cng,Manual,Fair,0,2018,8,24064
306,Bmw,X3,Electric,Automatic,Poor,1,2012,14,50107
307,Hyundai,Creta,Cng,Manual,Excellent,0,2023,3,119459
308,Tata,Harrier,Diesel,Manual,Fair,0,2017,9,66426
309,Maruti,Baleno,Diesel,Manual,Poor,0,2016,10,62673
310,Hyundai,Creta,Diesel,Automatic,Fair,0,2017,9,147940
311,Mahindra,Xuv500,Diesel,Automatic,Poor,0,2014,12,79262
312,Bmw,X3,Cng,Manual,Poor,1,2013,13,197986
313,Hyundai,Creta,Diesel,Automatic,Poor,0,2015,11,28252
314,Honda,Amaze,Diesel,Manual,Poor,0,2014,12,18271
315,Toyota,Fortuner,Electric,Automatic,Excellent,0,2024,2,23634
316,Tata,Harrier,Electric,Manual,Poor,0,2013,13,72740
317,Honda,Amaze,Petrol,Automatic,Poor,0,2014,12,187308
318,Mahindra,Scorpio,Diesel,Automatic,Poor,0,2015,11,34739
319,Hyundai,Creta,Petrol,Manual,Excellent,0,2024,2,96744
320,Bmw,X3,Petrol,Manual,Poor,1,2012,14,35157
321,Mahindra,Xuv500,Electric,Automatic,Good,0,2020,6,93294
322,Toyota,Fortuner,Electric,Manual,Poor,0,2014,12,101093
323,Mahindra,Scorpio,Electric,Automatic,Excellent,0,2024,2,125908
324,Hyundai,I20,Cng,Manual,Fair,0,2017,9,13892
325,Tata,Nexon,Diesel,Manual,Poor,0,2014,12,195373
326,Tata,Harrier,Electric,Automatic,Excellent,0,2024,2,154159
327,Hyundai,Creta,Petrol,Automatic,Excellent,0,2023,3,186591
328,Toyota,Innova,Electric,Manual,Fair,0,2018,8,147738
329,Honda,Amaze,Petrol,Manual,Poor,0,2016,10,33152
330,Bmw,X1,Diesel,Manual,Poor,1,2012,14,34927
331,Mahindra,Scorpio,Cng,Manual,Poor,0,2016,10,191113
332,Mahindra,Scorpio,Petrol,Automatic,Good,0,2020,6,58707
333,Maruti,Baleno,Petrol,Automatic,Fair,0,2017,9,149631
334,Mahindra,Xuv500,Electric,Automatic,Excellent,0,2023,3,5096
335,Hyundai,Verna,Diesel,Manual,Poor,0,2016,10,9508
336,Bmw,X3,Petrol,Manual,Poor,1,2015,11,119506
337,Tata,Harrier,Electric,Manual,Good,0,2020,6,148983
338,Maruti,Wagonr,Petrol,Automatic,Poor,0,2015,11,180986
339,Mahindra,Scorpio,Cng,Manual,Poor,0,2015,11,187034
340,Tata,Harrier,Petrol,Automatic,Fair,0,2018,8,97137
341,Audi,Q3,Diesel,Automatic,Fair,1,2017,9,52445
342,Tata,Nexon,Electric,Automatic,Good,0,2022,4,86841
343,Hyundai,Creta,Cng,Manual,Poor,0,2015,11,198031
344,Tata,Nexon,Diesel,Manual,Poor,0,2012,14,159799
345,Hyundai,I20,Electric,Automatic,Excellent,0,2024,2,29085
346,Honda,Amaze,Diesel,Manual,Poor,0,2013,13,166523
347,Mahindra,Xuv500,Diesel,Automatic,Good,0,2021,5,9161
348,Honda,Amaze,Diesel,Automatic,Poor,0,2014,12,132299
349,Tata,Harrier,Petrol,Automatic,Poor,0,2015,11,107579
350,Maruti,Baleno,Petrol,Manual,Poor,0,2012,14,172607
351,Tata,Nexon,Electric,Automatic,Fair,0,2018,8,180831
352,Mahindra,Xuv500,Cng,Manual,Excellent,0,2023,3,106427
353,Toyota,Fortuner,Petrol,Automatic,Good,0,2022,4,179221
354,Toyota,Innova,Electric,Automatic,Excellent,0,2024,2,129508
355,Tata,Harrier,Cng,Manual,Fair,0,2018,8,153392
356,Tata,Nexon,Electric,Manual,Poor,0,2014,12,131590
357,Bmw,X3,Diesel,Manual,Fair,1,2019,7,49603
358,Hyundai,Creta,Cng,Manual,Poor,0,2012,14,85095
359,Mahindra,Scorpio,Electric,Manual,Poor,0,2013,13,150424
360,Toyota,Fortuner,Electric,Automatic,Good,0,2021,5,31115
361,Bmw,X1,Diesel,Automatic,Poor,1,2015,11,124314
362,Bmw,X1,Electric,Manual,Fair,1,2017,9,148272
363,Mahindra,Scorpio,Electric,Automatic,Poor,0,2014,12,89431
364,Audi,A4,Diesel,Automatic,Fair,1,2017,9,10426
365,Hyundai,Verna,Cng,Automatic,Fair,0,2019,7,85808
366,Bmw,X3,Cng,Manual,Poor,1,2013,13,103152
367,Maruti,Wagonr,Electric,Manual,Poor,0,2014,12,77506
368,Toyota,Fortuner,Cng,Manual,Poor,0,2016,10,67005
369,Mahindra,Scorpio,Cng,Manual,Good,0,2022,4,176747
370,Maruti,Swift,Electric,Automatic,Poor,0,2016,10,29902
371,Toyota,Fortuner,Cng,Manual,Poor,0,2016,10,148264
372,Bmw,X1,Electric,Automatic,Poor,1,2014,12,79660
373,Tata,Harrier,Cng,Manual,Good,0,2022,4,78045
374,Hyundai,Verna,Petrol,Automatic,Excellent,0,2024,2,66182
375,Maruti,Swift,Cng,Manual,Good,0,2022,4,136846
376,Maruti,Baleno,Diesel,Manual,Good,0,2022,4,127936
377,Mahindra,Xuv500,Electric,Automatic,Good,0,2020,6,93445
378,Tata,Harrier,Petrol,Automatic,Excellent,0,2024,2,114612
379,Mahindra,Scorpio,Cng,Automatic,Good,0,2021,5,160701
380,Maruti,Wagonr,Petrol,Manual,Good,0,2021,5,121159
381,Honda,City,Cng,Automatic,Excellent,0,2024,2,41717
382,Honda,City,Diesel,Manual,Fair,0,2018,8,174646
383,Audi,Q3,Diesel,Manual,Poor,1,2013,13,25478
384,Honda,Amaze,Cng,Manual,Poor,0,2015,11,12514
385,Toyota,Innova,Electric,Automatic,Fair,0,2018,8,69368
386,Tata,Harrier,Cng,Automatic,Good,0,2020,6,126862
387,Tata,Harrier,Cng,Manual,Poor,0,2013,13,100353
388,Honda,City,Electric,Automatic,Poor,0,2013,13,186356
389,Honda,Amaze,Petrol,Automatic,Poor,0,2012,14,105607
390,Hyundai,Creta,Electric,Automatic,Poor,0,2012,14,155240
391,Bmw,X1,Petrol,Manual,Fair,1,2018,8,62287
392,Maruti,Baleno,Electric,Automatic,Good,0,2020,6,141832
393,Maruti,Wagonr,Diesel,Automatic,Poor,0,2013,13,93667
394,Hyundai,I20,Diesel,Automatic,Fair,0,2017,9,91384
395,Audi,Q3,Electric,Manual,Good,1,2021,5,53136
396,Honda,City,Electric,Manual,Excellent,0,2024,2,146121
397,Bmw,X1,Cng,Manual,Poor,1,2013,13,95357
398,Toyota,Fortuner,Petrol,Manual,Poor,0,2016,10,64048
399,Tata,Nexon,Cng,Automatic,Fair,0,2019,7,176333
400,Hyundai,Verna,Electric,Automatic,Good,0,2022,4,21324
401,Toyota,Innova,Diesel,Automatic,Good,0,2022,4,35268
402,Mahindra,Xuv500,Electric,Manual,Excellent,0,2023,3,34073
403,Maruti,Swift,Petrol,Automatic,Poor,0,2013,13,59555
404,Hyundai,Verna,Electric,Manual,Good,0,2020,6,183104
405,Honda,City,Electric,Automatic,Fair,0,2017,9,18050
