transaction_id,car_id,brand,model,manufacturing_year,car_age,fuel_type,transmission,kms_driven,listed_price,sold_price,price_difference,seller_city,seller_state,listing_date,sold_date,days_on_platform,sold_month,sold_year,is_premium_brand,car_condition,seller_rating,customer_segment,expected_market_price,price_bucket,conversion_rate,is_festive_season,sold_month_name,sold_month_num,sale_flag
11,6102,Mahindra,Xuv500,2014,11,Diesel,Automatic,14854,1764456,1659971,104485,Delhi,Rajasthan,24-12-2023,05-10-2025,32,1,2024,0,Poor,3.8,Premium,794005,High,0.06,0,Oct,10,1
12,2312,Mahindra,Xuv500,2024,1,Electric,Automatic,191527,1247404,1146858,100546,Bangalore,Delhi,28-04-2022,18-10-2025,59,6,2022,0,Excellent,3.8,Mid,1185033,Medium,0.06,0,Oct,10,1
13,5765,Tata,Harrier,2024,1,Electric,Manual,130068,2436587,2403222,33365,Bangalore,Punjab,17-11-2021,22-12-2021,58,1,2022,0,Excellent,3.6,Premium,2314757,High,0.02,0,Dec,12,1
14,6821,Audi,A4,2018,7,Cng,Manual,93302,1029033,938494,90539,Jaipur,Rajasthan,18-01-2019,11-08-2025,88,4,2019,1,Fair,3.2,Mid,668871,Medium,0.05,0,Aug,8,1
15,7551,Honda,Amaze,2022,3,Petrol,Manual,114238,1169876,1062857,107019,Pune,Maharashtra,16-11-2022,02-11-2023,87,2,2023,0,Good,3.9,Mid,994394,Medium,0.05,0,Nov,11,1
16,5323,Toyota,Innova,2020,5,Electric,Automatic,86404,901957,767972,133985,Pune,Maharashtra,25-12-2023,16-03-2019,29,1,2024,0,Good,3.3,Mid,676467,Medium,0.07,0,Mar,3,1
17,1523,Tata,Nexon,2023,2,Petrol,Automatic,10404,641037,560428,80609,Bangalore,Karnataka,06-11-2019,20-06-2020,77,1,2020,0,Excellent,4.2,Mid,576933,Medium,0.05,0,Jun,6,1
18,8550,Tata,Nexon,2024,1,Cng,Manual,31243,1855328,1750878,104450,Mumbai,Punjab,06-12-2020,01-11-2021,36,1,2021,0,Excellent,3.3,Premium,1762561,High,0.04,0,Nov,11,1
19,5482,Bmw,X3,2020,5,Electric,Automatic,192444,950084,855755,94329,Mumbai,Punjab,21-10-2021,26-04-2020,29,11,2021,1,Good,3.7,Mid,712563,Medium,0.07,1,Apr,4,1
20,2881,Audi,A4,2013,12,Cng,Automatic,144372,1204842,1084290,120552,Delhi,Karnataka,12-11-2024,21-01-2024,4,11,2024,1,Poor,4,Mid,481936,Medium,0.12,1,Jan,1,1
21,6227,Maruti,Wagonr,2022,3,Electric,Automatic,144725,1354912,1188842,166070,Mumbai,Maharashtra,19-02-2019,05-07-2019,77,5,2019,0,Good,4.7,Mid,1151675,Medium,0.06,0,Jul,7,1
22,5786,Maruti,Baleno,2012,13,Diesel,Automatic,17519,1636086,1502043,134043,Delhi,Rajasthan,30-07-2021,10-12-2021,74,10,2021,0,Poor,3.4,Premium,572630,High,0.06,1,Dec,12,1
23,5513,Bmw,X1,2024,1,Cng,Manual,54408,691435,564384,127051,Pune,Maharashtra,04-12-2020,01-10-2021,37,1,2021,1,Excellent,3.4,Mid,656863,Medium,0.07,0,Oct,10,1
24,3059,Honda,Amaze,2022,3,Diesel,Manual,145234,541680,363980,177700,Pune,Delhi,10-04-2020,28-06-2019,95,7,2020,0,Good,4.5,Budget,460428,Low,0.03,0,Jun,6,1
25,3639,Maruti,Wagonr,2022,3,Cng,Manual,104416,898619,805844,92775,Bangalore,Rajasthan,06-08-2021,24-04-2023,81,10,2021,0,Good,3.2,Mid,763826,Medium,0.05,1,Apr,4,1
26,9540,Bmw,X1,2016,9,Petrol,Manual,52074,666137,627716,38421,Chandigarh,Rajasthan,26-07-2024,19-07-2019,85,10,2024,1,Poor,4.7,Mid,366375,Medium,0.08,1,Jul,7,1
27,8273,Hyundai,I20,2021,4,Cng,Automatic,121352,536294,493976,42318,Bangalore,Maharashtra,12-11-2020,26-11-2023,102,2,2021,0,Good,4.2,Budget,429035,Low,0.03,0,Nov,11,1
28,5679,Maruti,Wagonr,2018,7,Cng,Automatic,10342,1460965,1419330,41635,Delhi,Punjab,27-06-2020,07-01-2020,4,7,2020,0,Fair,3.7,Premium,949627,High,0.09,0,Jan,1,1
29,6481,Bmw,X1,2012,13,Cng,Manual,97731,887675,728690,158985,Chandigarh,Karnataka,23-07-2022,11-11-2022,111,11,2022,1,Poor,4.6,Mid,310686,Medium,0.05,1,Nov,11,1
30,9393,Toyota,Innova,2023,2,Diesel,Manual,181785,277768,202068,75700,Pune,Punjab,25-06-2023,08-04-2024,56,8,2023,0,Excellent,4.5,Budget,249991,Low,0.07,0,Apr,4,1
31,1070,Maruti,Swift,2015,10,Petrol,Manual,174818,1289708,1246760,42948,Mumbai,Maharashtra,20-01-2020,26-09-2020,58,3,2020,0,Poor,3.8,Premium,644854,High,0.04,0,Sep,9,1
32,1583,Tata,Nexon,2016,9,Electric,Automatic,53034,2006188,1967169,39019,Delhi,Maharashtra,14-01-2019,04-09-2019,85,4,2019,0,Poor,4.6,Premium,1103403,High,0.07,0,Sep,9,1
33,9224,Toyota,Fortuner,2018,7,Diesel,Manual,39626,2205597,2045107,160490,Jaipur,Maharashtra,08-01-2020,18-12-2024,50,2,2020,0,Fair,3.6,Premium,1433638,High,0.07,0,Dec,12,1
34,3843,Audi,A4,2023,2,Diesel,Automatic,31334,2030128,1869857,160271,Jaipur,Maharashtra,06-04-2021,08-02-2021,118,8,2021,1,Excellent,4.2,Premium,1827115,High,0.07,0,Feb,2,1
35,9900,Honda,Amaze,2014,11,Petrol,Manual,175779,2363530,2187304,176226,Mumbai,Maharashtra,28-08-2024,26-03-2024,120,12,2024,0,Poor,4.1,Premium,1063588,High,0.02,0,Mar,3,1
36,6475,Toyota,Fortuner,2018,7,Electric,Manual,142461,504012,440673,63339,Delhi,Rajasthan,23-10-2021,12-06-2021,44,12,2021,0,Fair,4.6,Budget,327607,Low,0.05,0,Jun,6,1
37,5798,Maruti,Swift,2018,7,Diesel,Automatic,21293,1522007,1472299,49708,Jaipur,Karnataka,24-07-2019,29-01-2024,87,10,2019,0,Fair,3.7,Premium,989304,High,0.03,1,Jan,1,1
38,6645,Maruti,Wagonr,2020,5,Electric,Manual,82419,1023090,927529,95561,Jaipur,Karnataka,12-04-2020,05-05-2020,23,5,2020,0,Good,3.9,Mid,767317,Medium,0.09,0,May,5,1
39,2283,Tata,Nexon,2019,6,Electric,Manual,19615,314159,221112,93047,Bangalore,Karnataka,06-08-2021,09-07-2024,21,8,2021,0,Fair,4.5,Budget,219911,Low,0.06,0,Jul,7,1
40,4471,Bmw,X1,2020,5,Diesel,Automatic,45223,510634,504989,5645,Pune,Karnataka,29-04-2019,14-10-2022,25,5,2019,1,Good,4.1,Mid,382975,Medium,0.1,0,Oct,10,1
41,7058,Hyundai,Verna,2012,13,Electric,Automatic,118785,677998,505642,172356,Pune,Punjab,21-11-2023,12-04-2023,13,12,2023,0,Poor,4.4,Mid,237299,Medium,0.09,0,Apr,4,1
42,2055,Tata,Harrier,2023,2,Petrol,Manual,95406,689426,617790,71636,Bangalore,Karnataka,15-12-2024,30-05-2022,34,1,2025,0,Excellent,4.3,Mid,620483,Medium,0.08,0,May,5,1
43,8286,Hyundai,Creta,2016,9,Petrol,Automatic,167882,1219652,1163909,55743,Delhi,Punjab,17-12-2023,14-10-2022,88,3,2024,0,Poor,4.3,Mid,670808,Medium,0.05,0,Oct,10,1
44,6257,Hyundai,Verna,2012,13,Diesel,Manual,79002,2272765,2157013,115752,Bangalore,Punjab,11-10-2023,20-11-2019,104,1,2024,0,Poor,4.7,Premium,795467,High,0.03,0,Nov,11,1
45,2394,Toyota,Innova,2021,4,Petrol,Manual,78342,2103253,1974781,128472,Pune,Delhi,18-10-2022,01-05-2023,79,1,2023,0,Good,4,Premium,1682602,High,0.02,0,May,5,1
46,6249,Honda,Amaze,2015,10,Diesel,Manual,115982,274299,269164,5135,Jaipur,Rajasthan,12-05-2020,30-12-2023,105,8,2020,0,Poor,4.3,Budget,137149,Low,0.07,0,Dec,12,1
47,7805,Hyundai,I20,2018,7,Petrol,Automatic,80204,968216,932870,35346,Mumbai,Punjab,20-03-2022,24-11-2020,25,4,2022,0,Fair,3.8,Mid,629340,Medium,0.07,0,Nov,11,1
48,3593,Bmw,X1,2013,12,Cng,Manual,75511,2407826,2328164,79662,Delhi,Rajasthan,21-10-2021,02-09-2022,111,2,2022,1,Poor,3.3,Premium,963130,High,0.06,0,Sep,9,1
49,9218,Hyundai,Creta,2019,6,Cng,Automatic,107539,738679,662459,76220,Bangalore,Maharashtra,06-06-2024,07-06-2024,30,7,2024,0,Fair,4.5,Mid,517075,Medium,0.1,0,Jun,6,1
50,3109,Tata,Nexon,2019,6,Diesel,Automatic,79246,825022,775130,49892,Pune,Maharashtra,10-09-2022,17-02-2021,68,11,2022,0,Fair,3.5,Mid,577515,Medium,0.05,1,Feb,2,1
51,7546,Hyundai,I20,2020,5,Petrol,Manual,119038,806424,656239,150185,Chandigarh,Delhi,02-01-2019,02-02-2025,46,2,2019,0,Good,4.6,Mid,604818,Medium,0.05,0,Feb,2,1
52,4959,Bmw,X3,2013,12,Cng,Manual,26930,220105,168961,51144,Delhi,Maharashtra,27-12-2019,04-07-2020,102,4,2020,1,Poor,4.8,Budget,88041,Low,0.05,0,Jul,7,1
53,1411,Tata,Harrier,2014,11,Diesel,Automatic,150482,996736,973406,23330,Chandigarh,Karnataka,01-04-2020,25-09-2019,44,5,2020,0,Poor,4.3,Mid,448531,Medium,0.06,0,Sep,9,1
54,6703,Maruti,Baleno,2022,3,Diesel,Manual,70564,2211256,2069106,142150,Jaipur,Karnataka,02-12-2022,01-01-2023,30,1,2023,0,Good,3.5,Premium,1879567,High,0.06,0,Jan,1,1
55,8802,Toyota,Innova,2024,1,Diesel,Automatic,169642,2394134,2235574,158560,Pune,Maharashtra,06-10-2023,01-08-2024,94,1,2024,0,Excellent,3.8,Premium,2274427,High,0.07,0,Aug,8,1
56,1750,Tata,Nexon,2012,13,Petrol,Automatic,163830,1643009,1602949,40060,Jaipur,Maharashtra,09-06-2020,08-06-2020,58,8,2020,0,Poor,3.9,Premium,575053,High,0.05,0,Jun,6,1
57,6622,Tata,Harrier,2014,11,Electric,Manual,150114,1579525,1553175,26350,Jaipur,Maharashtra,25-04-2022,05-02-2022,7,5,2022,0,Poor,3.3,Premium,710786,High,0.06,0,Feb,2,1
58,9914,Maruti,Swift,2022,3,Electric,Automatic,29241,2191648,2089148,102500,Pune,Rajasthan,23-10-2023,17-02-2023,114,2,2024,0,Good,4,Premium,1862900,High,0.06,0,Feb,2,1
59,2615,Bmw,X3,2013,12,Petrol,Automatic,58419,1675307,1640019,35288,Chandigarh,Karnataka,16-09-2019,07-09-2023,36,10,2019,1,Poor,4.2,Premium,670122,High,0.03,1,Sep,9,1
60,3112,Toyota,Innova,2021,4,Diesel,Manual,179094,1413448,1341061,72387,Bangalore,Rajasthan,29-07-2023,27-10-2022,117,11,2023,0,Good,3.8,Premium,1130758,High,0.07,1,Oct,10,1
61,9579,Maruti,Wagonr,2020,5,Diesel,Automatic,145258,1299990,1262657,37333,Bangalore,Punjab,08-10-2021,12-02-2021,55,12,2021,0,Good,3.5,Premium,974992,High,0.04,0,Feb,2,1
62,2086,Bmw,X1,2017,8,Electric,Automatic,12702,2263431,2203539,59892,Mumbai,Maharashtra,12-05-2024,08-06-2024,86,8,2024,1,Fair,3.3,Premium,1358058,High,0.06,0,Jun,6,1
63,6820,Maruti,Swift,2019,6,Petrol,Manual,23320,1689189,1541990,147199,Delhi,Maharashtra,12-06-2020,09-05-2020,85,9,2020,0,Fair,4.3,Premium,1182432,High,0.06,0,May,5,1
64,1051,Maruti,Baleno,2015,10,Diesel,Manual,173618,2400585,2280482,120103,Pune,Maharashtra,27-07-2024,28-09-2023,84,10,2024,0,Poor,3.2,Premium,1200292,High,0.03,1,Sep,9,1
65,1534,Honda,Amaze,2014,11,Cng,Manual,37921,2119488,2043856,75632,Jaipur,Delhi,27-03-2019,07-06-2019,101,7,2019,0,Poor,3.8,Premium,953769,High,0.02,0,Jun,6,1
66,3451,Toyota,Fortuner,2017,8,Petrol,Automatic,135616,771192,696682,74510,Pune,Karnataka,28-11-2022,05-07-2019,92,2,2023,0,Fair,3.6,Mid,462715,Medium,0.06,0,Jul,7,1
67,2300,Toyota,Fortuner,2022,3,Electric,Automatic,74190,944715,810382,134333,Jaipur,Karnataka,06-11-2021,01-09-2022,64,1,2022,0,Good,4.1,Mid,803007,Medium,0.05,0,Sep,9,1
68,3832,Tata,Harrier,2012,13,Petrol,Manual,150954,921038,913090,7948,Pune,Maharashtra,21-10-2021,23-02-2020,32,11,2021,0,Poor,4.4,Mid,322363,Medium,0.06,1,Feb,2,1
69,5344,Tata,Harrier,2017,8,Cng,Manual,108132,1703544,1598399,105145,Delhi,Maharashtra,22-10-2020,27-06-2019,116,2,2021,0,Fair,4.7,Premium,1022126,High,0.08,0,Jun,6,1
70,3905,Audi,Q3,2016,9,Cng,Manual,197896,2218886,2053778,165108,Jaipur,Maharashtra,28-07-2022,11-01-2022,96,11,2022,1,Poor,4.3,Premium,1220387,High,0.06,1,Jan,1,1
71,2928,Maruti,Wagonr,2018,7,Electric,Automatic,150421,843189,720744,122445,Chandigarh,Maharashtra,18-05-2021,03-04-2019,67,7,2021,0,Fair,4.9,Mid,548072,Medium,0.03,0,Apr,4,1
72,5052,Mahindra,Scorpio,2015,10,Electric,Manual,189559,470026,446566,23460,Mumbai,Rajasthan,05-07-2021,26-08-2022,83,9,2021,0,Poor,4.8,Budget,235013,Low,0.07,0,Aug,8,1
73,8712,Bmw,X1,2017,8,Electric,Manual,26160,974055,958449,15606,Jaipur,Karnataka,20-08-2019,09-03-2019,14,9,2019,1,Fair,4.3,Mid,584433,Medium,0.06,0,Mar,3,1
74,8119,Audi,Q3,2020,5,Cng,Automatic,6813,965436,794411,171025,Jaipur,Maharashtra,22-10-2023,01-09-2024,79,1,2024,1,Good,3.6,Mid,724077,Medium,0.06,0,Sep,9,1
75,4002,Honda,Amaze,2021,4,Electric,Automatic,103141,769630,642889,126741,Pune,Maharashtra,24-12-2023,17-03-2019,62,2,2024,0,Good,4,Mid,615704,Medium,0.05,0,Mar,3,1
76,8446,Tata,Harrier,2021,4,Diesel,Manual,126631,611569,484719,126850,Bangalore,Punjab,18-05-2019,07-05-2023,120,9,2019,0,Good,3.5,Budget,489255,Low,0.08,0,May,5,1
77,2994,Maruti,Baleno,2018,7,Electric,Manual,87409,450954,399751,51203,Delhi,Maharashtra,01-06-2020,19-06-2025,115,9,2020,0,Fair,4.9,Budget,293120,Low,0.03,0,Jun,6,1
78,4288,Toyota,Innova,2015,10,Petrol,Manual,71543,284830,194149,90681,Mumbai,Maharashtra,04-09-2019,09-12-2019,8,9,2019,0,Poor,4,Budget,142415,Low,0.11,0,Dec,12,1
79,6774,Toyota,Innova,2020,5,Cng,Automatic,6691,971346,850425,120921,Bangalore,Maharashtra,18-12-2021,27-07-2019,63,2,2022,0,Good,4.5,Mid,728509,Medium,0.06,0,Jul,7,1
80,4497,Tata,Nexon,2022,3,Electric,Automatic,123452,639062,595173,43889,Bangalore,Karnataka,18-06-2019,10-04-2019,108,10,2019,0,Good,3.3,Mid,543202,Medium,0.02,1,Apr,4,1
81,9098,Honda,Amaze,2017,8,Petrol,Automatic,176423,1465001,1296030,168971,Delhi,Karnataka,20-05-2024,14-07-2022,85,8,2024,0,Fair,3.4,Premium,879000,High,0.05,0,Jul,7,1
82,7105,Hyundai,Creta,2013,12,Cng,Automatic,12403,1981460,1883658,97802,Pune,Karnataka,15-01-2019,02-09-2019,25,2,2019,0,Poor,3.5,Premium,792583,High,0.1,0,Sep,9,1
83,6058,Tata,Harrier,2023,2,Petrol,Manual,74548,1836246,1792385,43861,Jaipur,Punjab,03-08-2021,16-12-2025,88,10,2021,0,Excellent,3.6,Premium,1652621,High,0.08,1,Dec,12,1
84,6256,Hyundai,I20,2022,3,Diesel,Manual,58005,667476,577282,90194,Delhi,Maharashtra,12-05-2023,09-02-2023,113,9,2023,0,Good,3.8,Mid,567354,Medium,0.06,0,Feb,2,1
85,7177,Tata,Harrier,2014,11,Cng,Automatic,175672,230353,140921,89432,Jaipur,Maharashtra,11-07-2022,08-07-2022,27,8,2022,0,Poor,3.7,Budget,103658,Low,0.05,0,Jul,7,1
86,8689,Honda,City,2022,3,Diesel,Manual,21200,851138,842503,8635,Mumbai,Karnataka,04-06-2022,17-03-2021,48,7,2022,0,Good,3.9,Mid,723467,Medium,0.07,0,Mar,3,1
87,8071,Mahindra,Scorpio,2015,10,Petrol,Manual,87580,1202998,1186642,16356,Pune,Maharashtra,14-10-2021,21-10-2022,35,11,2021,0,Poor,3.9,Mid,601499,Medium,0.05,1,Oct,10,1
88,6895,Maruti,Wagonr,2021,4,Diesel,Manual,184785,1008877,925851,83026,Mumbai,Punjab,28-06-2024,17-01-2022,52,8,2024,0,Good,3.4,Mid,807101,Medium,0.03,0,Jan,1,1
89,1613,Audi,Q3,2018,7,Diesel,Automatic,56534,2071984,2012552,59432,Chandigarh,Rajasthan,26-02-2022,05-06-2022,69,5,2022,1,Fair,3.3,Premium,1346789,High,0.03,0,Jun,6,1
90,5457,Toyota,Innova,2020,5,Electric,Manual,189408,359778,313972,45806,Delhi,Delhi,09-05-2019,06-06-2019,28,6,2019,0,Good,3.8,Budget,269833,Low,0.1,0,Jun,6,1
91,1311,Honda,City,2015,10,Cng,Automatic,27966,717297,697763,19534,Bangalore,Maharashtra,10-10-2019,26-08-2019,13,10,2019,0,Poor,3.4,Mid,358648,Medium,0.09,1,Aug,8,1
92,9398,Audi,Q3,2021,4,Electric,Automatic,17296,1996644,1949538,47106,Delhi,Karnataka,05-04-2024,05-03-2024,28,5,2024,1,Good,3.9,Premium,1597315,High,0.08,0,Mar,3,1
93,4285,Honda,Amaze,2022,3,Petrol,Automatic,85546,379138,211947,167191,Jaipur,Rajasthan,05-06-2021,09-01-2021,88,9,2021,0,Good,3.2,Budget,322267,Low,0.08,0,Jan,1,1
94,3677,Toyota,Fortuner,2013,12,Electric,Manual,75757,1946187,1890778,55409,Mumbai,Maharashtra,22-05-2020,23-07-2025,7,5,2020,0,Poor,4.1,Premium,778474,High,0.09,0,Jul,7,1
95,4967,Honda,City,2022,3,Diesel,Manual,116706,524705,370573,154132,Jaipur,Maharashtra,20-12-2021,01-02-2022,13,1,2022,0,Good,3.3,Budget,445999,Low,0.12,0,Feb,2,1
96,8613,Audi,Q3,2021,4,Cng,Automatic,76010,1264552,1128494,136058,Mumbai,Maharashtra,13-12-2023,01-01-2024,19,1,2024,1,Good,4.4,Mid,1011641,Medium,0.07,0,Jan,1,1
97,9652,Hyundai,I20,2013,12,Diesel,Automatic,173404,491876,446950,44926,Jaipur,Karnataka,22-08-2021,15-03-2020,116,12,2021,0,Poor,3.9,Budget,196750,Low,0.06,0,Mar,3,1
98,4240,Maruti,Baleno,2018,7,Cng,Automatic,53702,1715196,1558334,156862,Mumbai,Maharashtra,03-08-2019,04-09-2024,12,8,2019,0,Fair,4.9,Premium,1114877,High,0.08,0,Sep,9,1
99,4973,Audi,Q3,2021,4,Diesel,Automatic,126416,906111,816099,90012,Bangalore,Maharashtra,07-03-2023,06-04-2023,89,6,2023,1,Good,3.6,Mid,724888,Medium,0.03,0,Apr,4,1
100,5212,Hyundai,Verna,2024,1,Electric,Manual,131471,724969,600247,124722,Mumbai,Maharashtra,13-02-2022,05-09-2022,85,5,2022,0,Excellent,4,Mid,688720,Medium,0.07,0,Sep,9,1
101,7207,Tata,Nexon,2020,5,Diesel,Automatic,125396,1376115,1371501,4614,Pune,Delhi,02-02-2023,02-06-2023,4,2,2023,0,Good,4.5,Premium,1032086,High,0.12,0,Jun,6,1
102,3557,Honda,Amaze,2024,1,Petrol,Manual,139510,962055,821258,140797,Chandigarh,Delhi,04-03-2023,05-03-2022,27,3,2023,0,Excellent,3.8,Mid,913952,Medium,0.15,0,Mar,3,1
103,8968,Bmw,X3,2022,3,Petrol,Manual,137560,1873303,1720157,153146,Chandigarh,Maharashtra,29-10-2024,02-03-2025,97,2,2025,1,Good,3.8,Premium,1592307,High,0.04,0,Mar,3,1
104,2955,Mahindra,Xuv500,2017,8,Diesel,Manual,89890,631206,453623,177583,Jaipur,Karnataka,12-04-2019,07-06-2019,85,7,2019,0,Fair,4.3,Budget,378723,Low,0.06,0,Jun,6,1
105,8573,Toyota,Innova,2021,4,Cng,Manual,130068,386195,305191,81004,Mumbai,Maharashtra,13-06-2021,08-03-2021,51,8,2021,0,Good,4.8,Budget,308956,Low,0.05,0,Mar,3,1
106,8003,Hyundai,I20,2018,7,Cng,Manual,53270,2434999,2320455,114544,Delhi,Delhi,23-08-2020,30-01-2023,29,9,2020,0,Fair,4.7,Premium,1582749,High,0.14,0,Jan,1,1
107,5046,Mahindra,Scorpio,2014,11,Cng,Automatic,65828,2316565,2296087,20478,Mumbai,Maharashtra,10-10-2019,12-03-2019,54,12,2019,0,Poor,3.9,Premium,1042454,High,0.06,0,Mar,3,1
108,4779,Mahindra,Scorpio,2021,4,Diesel,Automatic,163358,1568009,1523231,44778,Chandigarh,Punjab,12-01-2024,02-01-2024,20,2,2024,0,Good,4.4,Premium,1254407,High,0.07,0,Jan,1,1
109,4502,Tata,Harrier,2023,2,Electric,Manual,104503,1670726,1650960,19766,Chandigarh,Rajasthan,09-10-2024,20-08-2019,8,10,2024,0,Excellent,4.4,Premium,1503653,High,0.06,1,Aug,8,1
110,1302,Bmw,X1,2022,3,Diesel,Manual,62335,591532,475756,115776,Delhi,Maharashtra,08-08-2023,10-11-2023,64,10,2023,1,Good,3.8,Budget,502802,Low,0.08,1,Nov,11,1
111,6851,Bmw,X1,2014,11,Petrol,Automatic,175053,1140999,1058918,82081,Delhi,Maharashtra,18-04-2023,26-04-2024,86,7,2023,1,Poor,3.6,Mid,513449,Medium,0.07,0,Apr,4,1
112,4193,Bmw,X3,2024,1,Cng,Automatic,40167,242458,159807,82651,Delhi,Maharashtra,07-01-2025,02-09-2020,44,2,2025,1,Excellent,3.3,Budget,230335,Low,0.07,0,Sep,9,1
113,2208,Audi,Q3,2019,6,Petrol,Automatic,101822,1838887,1661694,177193,Pune,Karnataka,06-10-2020,10-12-2020,6,10,2020,1,Fair,4.7,Premium,1287220,High,0.08,1,Dec,12,1
114,5716,Audi,A4,2024,1,Electric,Automatic,198515,390045,266152,123893,Delhi,Maharashtra,01-02-2021,18-09-2023,23,2,2021,1,Excellent,3.3,Budget,370542,Low,0.13,0,Sep,9,1
115,2430,Tata,Harrier,2021,4,Electric,Manual,157028,1862560,1853672,8888,Mumbai,Maharashtra,06-04-2021,21-11-2023,79,6,2021,0,Good,4.1,Premium,1490048,High,0.06,0,Nov,11,1
116,3382,Audi,Q3,2013,12,Petrol,Manual,128977,2297503,2268678,28825,Chandigarh,Maharashtra,25-01-2024,26-04-2023,94,4,2024,1,Poor,4.1,Premium,919001,High,0.05,0,Apr,4,1
117,6689,Toyota,Fortuner,2023,2,Electric,Manual,40757,799042,793470,5572,Chandigarh,Punjab,20-11-2021,15-08-2024,38,12,2021,0,Excellent,3.4,Mid,719137,Medium,0.02,0,Aug,8,1
118,3096,Tata,Nexon,2020,5,Cng,Manual,135977,421039,244396,176643,Delhi,Rajasthan,24-02-2023,04-08-2021,32,3,2023,0,Good,4.3,Budget,315779,Low,0.04,0,Aug,8,1
119,7212,Honda,Amaze,2020,5,Cng,Manual,7208,1633896,1497213,136683,Jaipur,Delhi,17-11-2023,19-06-2019,103,2,2024,0,Good,4.8,Premium,1225422,High,0.03,0,Jun,6,1
120,1600,Mahindra,Xuv500,2021,4,Cng,Automatic,42025,653681,643610,10071,Bangalore,Maharashtra,13-12-2022,02-05-2023,54,2,2023,0,Good,4.5,Mid,522944,Medium,0.06,0,May,5,1
121,8160,Hyundai,I20,2022,3,Petrol,Automatic,19133,1401391,1375931,25460,Pune,Delhi,18-12-2024,15-05-2023,13,12,2024,0,Good,3.9,Premium,1191182,High,0.13,0,May,5,1
122,9345,Audi,A4,2014,11,Cng,Automatic,199697,770272,675560,94712,Delhi,Maharashtra,24-02-2020,04-08-2020,44,4,2020,1,Poor,3.4,Mid,346622,Medium,0.07,0,Aug,8,1
123,8947,Audi,A4,2017,8,Petrol,Manual,173395,2474511,2320980,153531,Mumbai,Maharashtra,08-01-2022,05-04-2022,116,5,2022,1,Fair,4.9,Premium,1484706,High,0.03,0,Apr,4,1
124,7285,Maruti,Swift,2015,10,Electric,Manual,95276,2345576,2228240,117336,Mumbai,Punjab,22-11-2024,09-04-2025,30,12,2024,0,Poor,4.1,Premium,1172788,High,0.09,0,Apr,4,1
125,7455,Mahindra,Scorpio,2024,1,Cng,Manual,122721,714588,714361,227,Bangalore,Karnataka,14-07-2019,08-09-2023,46,8,2019,0,Excellent,4.3,Mid,678858,Medium,0.04,0,Sep,9,1
126,4197,Hyundai,I20,2021,4,Diesel,Manual,18524,495942,410317,85625,Jaipur,Punjab,21-10-2022,01-05-2023,76,1,2023,0,Good,4.6,Budget,396753,Low,0.05,0,May,5,1
